Symbol,Company,Sector,Founded
GE,GE Aerospace,Aerospace & Defense,"Evendale, Ohio"
GEHC,GE HealthCare,Health Care Equipment,"Chicago, Illinois"
GEV,GE Vernova,Heavy Electrical Equipment,"Cambridge, Massachusetts"
GEN,Gen Digital,Systems Software,"Tempe, Arizona"
GNRC,Generac,Electrical Components & Equipment,"Waukesha, Wisconsin"
GD,General Dynamics,Aerospace & Defense,"Falls Church, Virginia"
GIS,General Mills,Packaged Foods & Meats,"Golden Valley, Minnesota"
GM,General Motors,Automobile Manufacturers,"Detroit, Michigan"
GPC,Genuine Parts Company,Distributors,"Atlanta, Georgia"
GILD,Gilead Sciences,Biotechnology,"Foster City, California"
GPN,Global Payments,Transaction & Payment Processing Services,"Atlanta, Georgia"
GL,Globe Life,Life & Health Insurance,"McKinney, Texas"
GDDY,GoDaddy,Internet Services & Infrastructure,"Tempe, Arizona"
GS,Goldman Sachs,Investment Banking & Brokerage,"New York City, New York"
HAL,Halliburton,Oil & Gas Equipment & Services,"Houston, Texas"
HIG,Hartford (The),Property & Casualty Insurance,"Hartford, Connecticut"
HAS,Hasbro,Leisure Products,"Pawtucket, Rhode Island"
HCA,HCA Healthcare,Health Care Facilities,"Nashville, Tennessee"
DOC,Healthpeak Properties,Health Care REITs,"Denver, Colorado"
HSIC,Henry Schein,Health Care Distributors,"Melville, New York"
HSY,Hershey Company (The),Packaged Foods & Meats,"Hershey, Pennsylvania"
HES,Hess Corporation,Integrated Oil & Gas,"New York City, New York"
HPE,Hewlett Packard Enterprise,"Technology Hardware, Storage & Peripherals","Houston, Texas"
HLT,Hilton Worldwide,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia"
HOLX,Hologic,Health Care Equipment,"Marlborough, Massachusetts"
HD,Home Depot (The),Home Improvement Retail,"Atlanta, Georgia"
HON,Honeywell,Industrial Conglomerates,"Charlotte, North Carolina"
HRL,Hormel Foods,Packaged Foods & Meats,"Austin, Minnesota"
HST,Host Hotels & Resorts,Hotel & Resort REITs,"Bethesda, Maryland"
HWM,Howmet Aerospace,Aerospace & Defense,"Pittsburgh, Pennsylvania"
HPQ,HP Inc.,"Technology Hardware, Storage & Peripherals","Palo Alto, California"
HUBB,Hubbell Incorporated,Industrial Machinery & Supplies & Components,"Shelton, Connecticut"
HUM,Humana,Managed Health Care,"Louisville, Kentucky"
HBAN,Huntington Bancshares,Regional Banks,"Columbus, Ohio; Detroit, Michigan"
HII,Huntington Ingalls Industries,Aerospace & Defense,"Newport News, Virginia"
IBM,IBM,IT Consulting & Other Services,"Armonk, New York"
IEX,IDEX Corporation,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois"
IDXX,Idexx Laboratories,Health Care Equipment,"Westbrook, Maine"
ITW,Illinois Tool Works,Industrial Machinery & Supplies & Components,"Glenview, Illinois"
INCY,Incyte,Biotechnology,"Wilmington, Delaware"
IR,Ingersoll Rand,Industrial Machinery & Supplies & Components,"Davidson, North Carolina"
PODD,Insulet Corporation,Health Care Equipment,"Acton, Massachusetts"
INTC,Intel,Semiconductors,"Santa Clara, California"
ICE,Intercontinental Exchange,Financial Exchanges & Data,"Atlanta, Georgia"
